day,project,stars
2021-10-19,OpenLineage/openlineage,533
2021-10-20,OpenLineage/openlineage,533
2021-10-20,OpenLineage/openlineage,533
2021-10-20,OpenLineage/openlineage,533
2021-10-21,OpenLineage/openlineage,533
2021-10-20,OpenLineage/openlineage,533
2021-10-21,OpenLineage/openlineage,533
2021-10-21,OpenLineage/openlineage,533
2021-10-21,OpenLineage/openlineage,533
2021-10-22,OpenLineage/openlineage,534
2021-10-22,OpenLineage/openlineage,534
2021-10-22,OpenLineage/openlineage,534
2021-10-23,OpenLineage/openlineage,535
2021-10-22,OpenLineage/openlineage,535
2021-09-05,OpenLineage/openlineage,459
2021-09-05,OpenLineage/openlineage,459
2021-09-07,OpenLineage/openlineage,460
2021-09-07,OpenLineage/openlineage,460
2021-09-06,OpenLineage/openlineage,460
2021-09-06,OpenLineage/openlineage,460
2021-09-06,OpenLineage/openlineage,460
2021-09-06,OpenLineage/openlineage,460
2021-09-07,OpenLineage/openlineage,462
2021-09-07,OpenLineage/openlineage,462
2021-09-08,OpenLineage/openlineage,468
2021-09-08,OpenLineage/openlineage,468
2021-09-08,OpenLineage/openlineage,468
2021-09-10,OpenLineage/openlineage,471
